Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
64,109315,5011005.0,U,DUROSS ROAD,36728.0,0.0,2006-11-07,,65619,0,0,1,533.3333,184.0106,0.345,0,"LINESTRING (217819.18339849016 357046.2553373379, 217815.12199999997 357026.663, 217813.28600000002 357020.677)"
65,109316,5011005.0,U,DUROSS ROAD,36728.0,0.0,2006-11-07,,137588,0,0,1,533.3333,218.158,0.409,0,"LINESTRING (217813.28600000002 357020.677, 217810.04700000002 357010.114, 217807.01299999998 356998.965, 217806.17099999997 356993.366, 217809.51353226285 356984.9376005522)"
67,113322,0.0,U,,0.0,0.0,2006-11-07,,34788,0,0,1,533.3333,1230.8253,2.3078,0,"LINESTRING (222633.33299999998 347956.685, 222636.36700000003 347959.249, 222639.2849908202 347960.53190180927)"
68,113389,5009524.0,U,,0.0,0.0,2006-11-07,U6519,117454,0,0,1,533.3333,31.2401,0.0586,0,"LINESTRING (223376.61200000002 344429.126, 223371.89399999997 344413.25, 223365.57900000003 344400)"
69,113740,0.0,U,KILLADEAS ROAD,34030.0,0.0,2006-11-07,,19222,0,0,1,533.3333,95.8692,0.1798,0,"LINESTRING (220447.5246858472 354104.6907690602, 220444.053 354102.349, 220439.09999999998 354099.705, 220433.299 354097.512, 220426.548 354097.669, 220416.20299999998 354102.228, 220400 354107.1, 220394.96000000002 354109.187, 220383.457 354114.926, 220376.36700000003 354119.26)"
70,118987,5000693.0,B,KILLADEAS ROAD,34030.0,0.0,2006-11-07,B0082,3839,0,0,1,1066.6667,360.5473,0.338,0,"LINESTRING (223176.5643990154 349818.9820165035, 223193.13199999998 349759.888, 223211.75542687636 349686.5284908497)"
71,120361,0.0,A,WELLINGTON ROAD,36968.0,0.0,2006-11-07,A0004,122774,0,0,1,1466.6667,26.6188,0.0181,0,"LINESTRING (223355.45679757695 344140.9178406551, 223346.675 344153.319, 223340.723 344161.642)"
72,120422,5016967.0,A,QUEEN STREET,6982.0,0.0,2006-11-07,A0032,19403,0,0,1,1466.6667,70.9007,0.0483,0,"LINESTRING (223442.174 344402.605, 223423.45400000003 344411.376, 223400 344422.234, 223376.61200000002 344429.126)"
73,120423,5016967.0,A,QUEEN STREET,6982.0,6824.0,2006-11-07,A0032,163846,0,0,1,1466.6667,195.9606,0.1336,0,"LINESTRING (223376.61200000002 344429.126, 223357.03100000002 344433.633, 223343.571 344436.086, 223307.56199999998 344442.013, 223268.03999999998 344445.745, 223251.13400000002 344443.989, 223242.571 344440.476, 223234.447 344433.449, 223230.495 344425.107, 223226.104 344411.273, 223223.35100000002 344400, 223220.304 344386.693)"
74,120424,5016967.0,A,QUEEN STREET,6982.0,0.0,2006-11-07,A0032,153472,0,0,1,1466.6667,61.607,0.042,0,"LINESTRING (223220.304 344386.693, 223211.33399999997 344347.75, 223206.29700000002 344326.7)"
75,120425,5016972.0,A,Q.ELIZABETH ROUNDABOUT,0.0,0.0,2006-11-07,,71213,0,0,1,1466.6667,16.3898,0.0112,0,"LINESTRING (223455.255 344408.681, 223450.805 344409.827, 223447.25699999998 344408.85, 223444.885 344406.698, 223443.386 344404.298, 223442.174 344402.605)"
76,120426,5016972.0,A,Q.ELIZABETH ROUNDABOUT,0.0,0.0,2006-11-07,,60907,0,0,1,1466.6667,19.1806,0.0131,0,"LINESTRING (223442.174 344402.605, 223441.441 344400, 223441.435 344399.977, 223441.02399999998 344397.76, 223440.761 344395.301, 223442.175 344392.959, 223443.637 344390.917, 223445.522 344389.279, 223447.60499999998 344387.892, 223448.934 344387.25)"
77,120427,5016972.0,A,Q.ELIZABETH ROUNDABOUT,0.0,0.0,2006-11-07,,117675,0,0,1,1466.6667,16.0504,0.0109,0,"LINESTRING (223448.934 344387.25, 223451.63400000002 344387.191, 223454.479 344387.883, 223456.947 344388.972, 223459.38799999998 344390.662, 223461.075 344392.521, 223462.439 344394.304)"
78,120606,5000352.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,91850,0,0,1,1466.6667,162.2507,0.1106,0,"LINESTRING (222124.6218958806 342601.6315914743, 222141.586 342590.267, 222162.863 342575.726, 222200 342551.25, 222231.80080832067 342531.74532894645)"
79,120636,0.0,A,CORNAGRADE ROAD,4514.0,0.0,2006-11-07,A0032,117702,0,0,1,1466.6667,256.6771,0.175,0,"LINESTRING (223483.70223731178 344570.29373657884, 223483.54599999997 344565.04, 223483.588 344545.37, 223483.505 344522.825, 223483.41999999998 344504.93, 223483.054 344493.682, 223481.762 344484.834, 223479.396 344474.534, 223474.93199999997 344461.509, 223466.728 344438.083, 223463.13799999998 344428.096, 223461.74099999998 344424.208, 223455.255 344408.681)"
80,120693,5016958.0,A,ANN STREET,2581.0,15506.0,2006-11-07,A0032,9051,0,0,1,1466.6667,123.9869,0.0845,0,"LINESTRING (223206.29700000002 344326.7, 223183.615 344332.95, 223167.315 344336.617, 223151.876 344339.248, 223134.57 344340.504, 223131.8823096688 344340.79840849823)"
81,120694,5016960.0,A,CASTLE STREET,22172.0,0.0,2006-11-07,A0004,71253,0,0,1,1466.6667,69.3907,0.0473,0,"LINESTRING (223209.641 344325.779, 223199.521 344295.998, 223195.79100000003 344284.476, 223189.33299999998 344259.47)"
82,120714,0.0,A,,36968.0,0.0,2006-11-07,A0004,86738,0,0,1,1466.6667,55.4145,0.0378,0,"LINESTRING (223189.33299999998 344259.47, 223218.36 344248.584, 223231.733 344242.932, 223240.624 344238.589)"
83,120730,0.0,A,,36968.0,0.0,2006-11-07,,133010,0,0,1,1466.6667,131.2825,0.0895,0,"LINESTRING (223116.37440729432 344288.5587381507, 223128.038 344283.783, 223156.30200000003 344271.884, 223189.33299999998 344259.47)"
84,120793,0.0,A,,36968.0,0.0,2006-11-07,A0004,138168,0,0,1,1466.6667,85.6862,0.0584,0,"LINESTRING (223340.723 344161.642, 223340.53999999998 344161.899, 223323.21000000002 344180.101, 223313.457 344189.179, 223296.77000000002 344203.173, 223285.26400000002 344211.999, 223276.39399999997 344217.866)"
